Unit Type Key;          Name;               Symbol;     Key;                           Description;                             Conversion Type; Conversion Args
none;                   None;               ;           none;                          None;                                    NOOP;            []
boolean;                Boolean;            ;           boolean;                       Boolean;                                 NOOP;            []
potential;              Volt;               V;          volt;                          Volts;                                   NOOP;            []
potential;              Millivolt;          mV;         millivolt;                     Millivolts;                              LINEAR;          [0.001]
potential;              Kilovolt;           kV;         kilovolt;                      Kilovolts;                               LINEAR;          [1000.0]
current;                Amp;                A;          amp;                           Amperes;                                 NOOP;            []
current;                Milliamp;           mA;         milliamp;                      Milliamperes;                            LINEAR;          [0.001]
current;                Microamp;           µA;         microamp;                      Microamperes;                            LINEAR;          [0.000001]
current;                kiloamp;            kA;         kiloamp;                       Kiloamperes;                             LINEAR;          [1000.0]
current;                megaamp;            MA;         megaamp;                       Megaamperes;                             LINEAR;          [1000000.0]
current-flux;           Amp/cm²;            A/cm²;      amp-per-square-cm;             Amps per Square Centimeters;             NOOP;            []
current-flux;           Amp/m²;             A/m²;       amp-per-square-m;              Amps per Square Meters;                  LINER;           [0.0001]
current-flux;           milliAmp/cm²;       mA/cm²;     milliamp-per-square-cm;        Milliamps per Square Centimeters;        LINEAR;          [0.001]
current-flux;           milliAmp/mm²;       mA/mm²;     milliamp-per-square-mm;        Milliamps per Square Millimeters;        LINEAR;          [0.1]
didt;                   Amp/s;              A/s;        amp-per-second;                Amps per second;                         NOOP;            []
didt;                   Amp/m;              A/m;        amp-per-minute;                Amps per minute;                         LINEAR;          [0.01666667]
didt;                   Amp/h;              A/h;        amp-per-hour;                  Amps per hour;                           LINEAR;          [0.00027778]
power;                  Watt;               W;          watt;                          Watts;                                   NOOP;            []
power;                  Centiwatt;          cW;         centiwatt;                     Centiwatts;                              LINEAR;          [0.01]
power;                  Milliwatt;          mW;         milliwatt;                     Milliwatts;                              LINEAR;          [0.001]
power;                  Kilowatt;           kW;         kilowatt;                      Kilowatts;                               LINEAR;          [1000.0]
power;                  Megawatt;           MW;         megawatt;                      Megawatts;                               LINEAR;          [1000000.0]
power;                  Horsepower;         hp;         horsepower;                    Horsepower;                              LINEAR;          [746.0]
specific-power;         W/g;                W/g;        watt-per-gram;                 Watts per Gram;                          NOOP;            []
specific-power;         W/kg;               W/kg;       watt-per-kilogram;             Watts per Kilogram;                      LINEAR;          [0.001]
specific-power;         mW/g;               mW/g;       milliwatt-per-gram;            Milliwatts per gram;                     LINEAR;          [0.001]
specific-power;         mW/kg;              mW/kg;      milliwatt-per-kilogram;        Milliwatts per Kilogram;                 LINEAR;          [0.000001]
specific-power;         kW/kg;              kW/kg;      kilowatt-per-kilogram;         Kilowatts per Kilogram;                  LINEAR;          [1]
power-flux;             W/cm²;              W/cm²;      watt-per-square-cm;            Watts per Square Centimeter;             NOOP;            []
power-flux;             W/m²;               W/m²;       watt-per-square-m;             Watts per Square Meter;                  LINEAR;          [0.0001]
power-flux;             kW/m²;              kW/m²;      kilowatt-per-square-m;         Kilowatts per Square Meter;              LINEAR;          [0.1]
power-flux;             mW/cm²;             mW/cm²;     milliwatt-per-square-cm;       Milliwatts per Square Centimeter;        LINEAR;          [0.001]
power-flux;             mW/mm²;             mW/mm²;     milliwatt-per-square-mm;       Milliwatts per Square Millimeter;        LINEAR;          [0.1]
resistance;             Ohm;                Ω;          ohm;                           Ohms;                                    NOOP;            []
resistance;             Microohm;           µΩ;         microohm;                      Microohms;                               LINEAR;          [0.000001]
resistance;             Milliohm;           mΩ;         milliohm;                      Milliohms;                               LINEAR;          [0.001]
resistance;             Megaohm;            MΩ;         megaohm;                       Megaohms;                                LINEAR;          [1000000.0]
resistance;             Killiohm;           kΩ;         killiohm;                      killiohms;                               LINEAR;          [1000.0]
impedance;              Ohm Imaginary;      Ω;          ohm-imaginary;                 Ohms Imaginary;                          NOOP;            []
impedance;              Microohm Imaginary; µΩ;         microohm-imaginary;            Microohms Imaginary;                     LINEAR;          [0.000001]
impedance;              Milliohm Imaginary; mΩ;         milliohm-imaginary;            Milliohms Imaginary;                     LINEAR;          [0.001]
impedance;              Megaohm Imaginary;  MΩ;         megaohm-imaginary;             Megaohms Imaginary;                      LINEAR;          [1000000.0]
impedance;              Killiohm Imaginary; kΩ;         killiohm-imaginary;            Killiohms Imaginary;                     LINEAR;          [1000.0]
time;                   Second;             s;          second;                        Seconds;                                 NOOP;            []
time;                   Decisecond;         ds;         decisecond;                    Deciseconds;                             LINEAR;          [0.1]
time;                   Millisecond;        ms;         millisecond;                   Milliseconds;                            LINEAR;          [0.001]
time;                   Minute;             m;          minute;                        Minutes;                                 LINEAR;          [60.0]
time;                   Hour;               hh:mm:ss;   hour;                          Hours;                                   LINEAR;          [3600.0]
time;                   Hour Decimal;       h;          hour-dec;                      Hours Decimal;                           LINEAR;          [3600.0]
time;                   Day;                d;          day;                           Days;                                    LINEAR;          [86400.0]
date;                   Datetime;           ;           datetime;                      Date and Time;                           NOOP;            []
date;                   Epoch;              ;           epoch;                         Milliseconds since 1970;                 EPOCH_TO_DATE;   []
capacity;               Amp-hour;           Ah;         amp-hour;                      Ampere-Hours;                            NOOP;            []
capacity;               Milliamp-hour;      mAh;        milliamp-hour;                 Milliampere-Hours;                       LINEAR;          [0.001]
capacity;               kiloamp-hour;       kAh;        kiloamp-hour;                  Kiloampere-Hours;                        LINEAR;          [1000.0]
capacity;               Coulomb;            C;          coulomb;                       Coulombs;                                LINEAR;          [0.0002777777777777778]
specific-capacity;      Ah/g;               Ah/g;       amp-hour-per-gram;             Ampere-Hours per Gram;                   NOOP;            []
specific-capacity;      mAh/g;              mAh/g;      milliamp-hour-per-gram;        Milliampere-Hours per Gram;              LINEAR;          [1000.0]
specific-capacity;      Ah/kg;              Ah/kg;      amp-hour-per-kilogram;         Ampere-Hours per Kilogram;               LINEAR;          [0.001]
areal-capacity;         Ah/cm²;             Ah/cm²;     amp-hour-per-square-cm;        Ampere-Hours per Square Centimeters;     NOOP;            []
areal-capacity;         Ah/m²;              Ah/m²;      amp-hour-per-square-m;         Ampere-Hours per Square Meters;          LINEAR;          [0.0001]
areal-capacity;         mAh/cm²;            mAh/cm²;    milliamp-hour-per-square-cm;   Millampere-Hours per Square Centimeters; LINEAR;          [0.001]
